,rt,ct,de,lr,lc
0,3.7208735461519424,14.133172482058898,1027,1577.0120861172975,3153.1762954714186
1,3.500352243233222,13.995596959584725,1182,1622.634232480534,2696.559588431591
2,3.8080038265306126,13.644664115646258,1005,1801.476683673469,2899.0587818877552
3,3.377520305781175,13.764548494983279,1017,1494.4304443382705,2706.500243669374
4,3.194325808419768,13.407341875127111,990,1480.1028859060402,2728.1259243441127
5,3.1459945291129348,13.667477530285268,1101,1455.3733997655333,2794.036735052755
6,3.122676616915423,12.785542288557213,1027,1599.3258865671642,2572.592179104478
7,3.498477433387711,13.719303969548669,954,1368.7061663947795,2717.416057640022
8,4.02503355704698,12.992818791946307,1017,1752.0267315436242,2683.50977181208
9,2.8284361915164755,10.60287638813035,928,1230.5283342435828,2250.486504642272
10,3.371343060231949,13.760849233071456,1080,1397.0599270482603,2643.4877328843995
11,3.488251879699248,13.16628028404344,1046,1626.9961152882204,2567.3429636591477
12,3.507214082214082,12.435490435490436,988,1356.51,2430.879426129426
13,3.5567311693716186,10.505118601747814,1080,1475.2547877652933,2357.647009987516
14,3.296368894601543,13.50371679520137,1083,1455.6698329048843,2658.4806362467866
15,3.1849033816425116,12.00163906142167,983,1293.0545807453418,2413.0664182194614
16,3.229968499427262,13.07016036655212,978,1524.6596219931273,2884.124527491409
17,3.453744030563515,13.830448901623686,1137,1787.2348424068766,2816.5185787965615
18,3.904690757470465,13.031561269400045,1042,1470.019833217512,2678.976997915219
19,3.4544332614426074,13.100778816199378,979,1657.4511143062546,3050.289051042416
20,3.6860439992143,13.453093694755449,1075,1559.773187978786,2604.8476664702416
21,3.568768472906404,14.48208538587849,1276,1809.7436305418719,2633.9877536945814
22,3.3267509532410195,13.94546457957054,1057,1675.613208910295,2745.5756712823604
23,3.8225454857535186,13.318005492619292,1056,1336.5644696189495,2341.9827085478887
24,3.315984678624813,14.438331464872943,984,1472.0459529147981,2841.583368834081
25,3.2291881998277345,14.332288975021532,1074,1649.2573191214472,2764.1236563307493
26,3.7076353092783507,14.193631872852233,927,1347.8540850515465,2859.0883827319585
27,2.9280261348005503,13.40737047226043,964,1353.4841815680882,2691.156671251719
28,3.8209900990099004,13.83092409240924,1067,1709.6358811881187,2882.01297689769
29,3.0474785165083675,13.464800995024877,879,1217.4114789687924,2328.7536906377204
30,3.565778097982709,12.641522574447647,972,1492.810864553314,2695.8263040345823
31,3.449162700511193,13.614930371937247,989,1222.323231094659,2498.0746324695933
32,3.8260865931126715,14.156302240053492,1066,1574.1398645937813,2850.7846489468407
33,4.057856618995233,12.985020168683535,988,1388.8541694169417,2458.4949504950496
34,3.6383188225538974,13.625766998341625,1050,1446.9371206467663,2494.409906716418
35,3.510185785266796,13.892449773169151,1096,1698.4461633182113,2766.442216461439
